n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="6.125";="1.2678571428571428";="3.0625";="9.040178571428571e-2";="4.764705882352941";="8.007909045971329e-2";="2.3667279411764706";="1.5231005545600595";
24;="6.125";="0.6964285714285714";="3.3333333333333335";="3.224206349206348e-2";="5.12";="2.9714285714285766e-2";="1.5100000000000002";="0.32553333333333345";
32;="7.625";="1.4107142857142858";="4.0390625";="0.17459542410714285";="5.856060606060606";="0.1641742096287551";="2.8148674242424243";="3.363570516446938";
48;="9.25";="3.642857142857143";="5.044270833333333";="0.23145306299603166";="6.900510204081632";="0.2221023978104363";="4.03890306122449";="6.957006949402684";
64;="10.75";="3.357142857142857";="5.767578125";="0.5833173479352679";="7.648076923076924";="0.56550718512257";="4.475180288461539";="4.312905677930845";
96;="11.25";="4.214285714285714";="6.364583333333333";="0.692522321428572";="8.278350515463918";="0.6783171127947403";="5.220441365979379";="14.571502811938274";
128;="12.375";="2.267857142857143";="6.5888671875";="0.11805834089006696";="8.522286821705427";="0.1162350734416715";="4.807155402131782";="2.6989873435678255";
192;="14.375";="1.4107142857142858";="7.577473958333333";="0.18072170681423613";="9.527849740932643";="0.1788537947327446";="6.3822727763385165";="2.67657493604115";
256;="15.0";="2.5714285714285716";="8.0849609375";="0.48188018798828125";="10.045719844357976";="0.47813744341322356";="6.785904821254866";="7.456092822657558";
384;="16.5";="4.857142857142857";="8.888671875";="0.33494495210193476";="10.86038961038961";="0.33320723803098595";="7.113272794913423";="4.772735192400246";
512;="18.25";="2.2142857142857144";="9.630859375";="0.24453299386160715";="11.608187134502923";="0.24358057804246375";="8.607242933723189";="5.00500007822904";
768;="19.375";="1.6964285714285714";="10.520996093750002";="0.5094529106503439";="12.504713914174252";="0.5081287970823724";="9.623145504849369";="6.146040188972682";
1024;="19.875";="0.4107142857142857";="10.760986328125";="0.1944279670715332";="12.748536585365855";="0.19404878048780505";="8.701804496951222";="2.2591360873942183";
1536;="21.875";="2.982142857142857";="11.35498046875";="0.510557356334868";="13.34629147690306";="0.5098932167546334";="9.038700339541279";="2.419333300511281";
2048;="22.75";="3.642857142857143";="12.47003173828125";="0.40118986793926786";="14.462969741337238";="0.40079836772550836";="10.850883279095768";="4.986360888926467";
3072;="24.625";="5.125";="12.9595947265625";="0.4367222994092909";="14.954726651480636";="0.43643811376566155";="11.350032165441274";="9.79166010743104";
4096;="25.375";="2.5535714285714284";="13.704132080078125";="0.24441418371030263";="15.700298999267755";="0.24429488453760242";="12.035855226933432";="3.1721687124676063";
