n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="5.25";="1.0714285714285714";="2.9140625";="0.13497488839285715";="4.625";="0.11956253089471076";="1.4659926470588232";="0.6913763207488878";
24;="6.5";="0.2857142857142857";="3.5729166666666665";="3.5590277777777804e-2";="5.35";="3.2799999999999996e-2";="2.0300000000000007";="0.18218412698412748";
32;="8.125";="1.5535714285714286";="4.1484375";="0.15506417410714285";="5.962121212121213";="0.14580873671782754";="2.9997632575757573";="2.899460757637249";
48;="8.0";="1.4285714285714286";="4.627604166666666";="0.12381417410714284";="6.49234693877551";="0.11881210210031544";="2.6021471088435373";="1.986857624943809";
64;="10.125";="3.267857142857143";="5.3828125";="0.28934151785714285";="7.269230769230769";="0.28050718512256967";="3.802103365384616";="3.922264630276571";
96;="11.5";="1.1428571428571428";="6.024739583333333";="0.14369225880456346";="7.94201030927835";="0.14074480360748817";="4.251073883161514";="1.3573186086396507";
128;="13.5";="3.7142857142857144";="7.0439453125";="0.36908721923828125";="8.973837209302326";="0.36338711615888497";="5.890776405038756";="3.4026519495855054";
192;="13.25";="3.9285714285714284";="7.526041666666667";="0.7612924727182538";="9.476683937823832";="0.7534238694806765";="5.226096988341968";="6.686006960488913";
256;="16.0";="1.7142857142857142";="8.345703125";="0.35479300362723215";="10.305447470817121";="0.35203734024306643";="7.287531158803498";="2.5440802764781916";
384;="17.0";="1.4285714285714286";="8.869791666666666";="0.41090804811507964";="10.84155844155844";="0.4087762330433943";="7.122079613095221";="4.131286908959477";
512;="19.625";="1.6964285714285714";="10.124267578125";="0.7967615808759417";="12.100633528265107";="0.7936583254758081";="10.62095002588936";="11.442307677625775";
768;="20.5";="8.857142857142858";="10.52001953125";="0.9807845524379191";="12.503738621586477";="0.9782354058809135";="10.741222790014088";="20.71253636695854";
1024;="20.375";="0.8392857142857143";="10.8746337890625";="9.433472156524658e-2";="12.862073170731707";="9.415074360499695e-2";="9.39397865853659";="0.9668633708155776";
1536;="22.0";="4.571428571428571";="11.793782552083332";="0.4256191859169612";="13.784808067664281";="0.4250655350020009";="10.220322432938886";="6.052435416864864";
2048;="23.125";="1.8392857142857142";="12.448486328125";="0.27670226778302875";="14.441434846266471";="0.2764322485087608";="10.794367047854914";="2.9976224667944136";
