n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="6.125";="2.125";="3.046875";="0.189453125";="4.75";="0.16782006920415227";="2.3869485294117645";="2.7580471067103303";
24;="6.875";="0.6964285714285714";="3.828125";="0.3419828869047619";="5.595";="0.31517142857142844";="2.640833333333334";="1.8239325396825403";
32;="8.75";="5.928571428571429";="4.453125";="0.6969866071428571";="6.257575757575759";="0.6553850190213826";="4.254261363636364";="10.91063818993507";
48;="9.25";="1.9285714285714286";="4.791666666666667";="0.14719742063492075";="6.653061224489796";="0.1412506693639555";="3.396789965986394";="1.8293623807333916";
64;="11.0";="1.7142857142857142";="5.609375";="0.25551060267857145";="7.4923076923076914";="0.2477092138630602";="4.842307692307691";="3.364232816462382";
96;="12.0";="4.0";="6.265625";="0.39102802579365087";="8.18041237113402";="0.38300715120780987";="5.964427620274912";="13.220620147986834";
128;="12.875";="2.125";="6.89453125";="0.5121023995535714";="8.825581395348838";="0.5041936010026872";="4.977849442829456";="2.2064082276444816";
192;="13.625";="1.6964285714285714";="7.569661458333333";="0.2868841262090774";="9.520077720207254";="0.2839189355035419";="6.024611398963735";="4.102661526121719";
256;="15.75";="4.5";="8.29443359375";="0.7427409035818917";="10.254377431906615";="0.7369720640303843";="7.035228447227628";="5.717435353043727";
384;="18.625";="3.125";="9.521484374999998";="0.31397598508804575";="11.49155844155844";="0.312347059248729";="10.774090232683987";="8.70523472040629";
512;="17.75";="6.785714285714286";="9.302490234375";="0.26245382853916716";="11.280458089668617";="0.2614316140144601";="7.532078079312866";="5.816519604595106";
