n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="5.875";="0.9821428571428571";="3.109375";="0.13141741071428573";="4.8088235294117645";="0.11641127039050914";="2.2123161764705883";="1.2056110587617392";
24;="7.0";="0.8571428571428571";="3.8020833333333335";="0.23400297619047628";="5.57";="0.21565714285714263";="2.569166666666666";="1.5830309523809514";
32;="8.25";="1.3571428571428572";="4.48046875";="0.23770577566964285";="6.284090909090909";="0.2235176439721894";="3.851799242424243";="2.4532251799652407";
48;="9.0";="3.7142857142857144";="4.796875";="0.20123387896825415";="6.658163265306123";="0.19310406378294753";="3.3853103741496606";="4.441803852706052";
64;="9.625";="0.5535714285714286";="5.55078125";="0.2384033203125";="7.434615384615384";="0.23112426035502942";="3.7902644230769225";="2.23459291459742";
96;="11.625";="1.4107142857142858";="6.076822916666667";="0.17227608816964296";="7.993556701030927";="0.1687423135903313";="4.497905927835051";="1.8742983877676644";
128;="12.125";="0.9821428571428571";="6.77734375";="0.3732386997767857";="8.709302325581396";="0.3674744821310531";="4.5536730862403125";="2.4398402995307342";
192;="14.125";="0.6964285714285714";="7.5078125";="5.872550843253965e-2";="9.458549222797927";="5.811853050705091e-2";="6.204966806994822";="1.5112880430087847";
256;="15.875";="1.8392857142857142";="8.21435546875";="0.1145561763218471";="10.174610894941635";="0.11366642298034144";="7.653236715710119";="3.0265735757713776";
384;="16.625";="2.8392857142857144";="8.828125";="0.3008529420882939";="10.799999999999999";="0.299292099366311";="7.205145765692635";="3.3006500686748477";
512;="18.0";="0.8571428571428571";="9.0283203125";="0.21690477643694198";="11.00682261208577";="0.21605996798363658";="6.877914458455159";="3.216345646622106";
768;="19.75";="7.071428571428571";="10.384765625";="0.7979779924665177";="12.368660598179453";="0.795903976468809";="9.70435004199175";="15.419721858882907";
1024;="21.25";="4.5";="10.837158203125";="9.777225766863142e-2";="12.824634146341463";="9.758157559275933e-2";="9.77828077362804";="3.2348607959305222";
1536;="22.25";="3.9285714285714284";="11.697102864583334";="0.5070898570711649";="13.688191281717632";="0.506430228058602";="9.857409061720588";="3.779878045091768";
2048;="22.375";="2.267857142857143";="12.02593994140625";="0.38923852358545574";="14.01909468033187";="0.38885868606371077";="9.845558058523224";="4.559775605261188";
3072;="24.5";="0.5714285714285714";="12.923380533854168";="0.14866392763834138";="14.918524243410348";="0.1485671884656052";="11.234455373879719";="3.0057599365084426";
4096;="25.125";="2.125";="13.407958984375";="0.13280371257237025";="15.40419819380034";="0.1327388907490172";="11.196239125999206";="2.513628348271459";
