n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="5.875";="0.9821428571428571";="3.109375";="0.10909598214285714";="4.8088235294117645";="9.66386554621848e-2";="2.230698529411765";="1.234381758217994";
24;="7.0";="2.2857142857142856";="3.75";="0.6785714285714283";="5.52";="0.6253714285714287";="2.5025";="3.4979515873015883";
32;="7.875";="3.8392857142857144";="4.30078125";="0.4522705078125";="6.109848484848485";="0.4252754820936636";="3.1702178030303028";="4.094182938865109";
48;="8.5";="0.2857142857142857";="4.630208333333333";="6.668526785714282e-2";="6.494897959183673";="6.399119414529657e-2";="2.3751062925170072";="0.29667665702699936";
64;="9.75";="0.7857142857142857";="5.259765625";="4.5475551060267856e-2";="7.148076923076923";="4.408706677937454e-2";="3.4756610576923075";="0.398548442618079";
96;="11.25";="1.9285714285714286";="6.022135416666667";="0.37030126178075395";="7.939432989690722";="0.36270554028817387";="4.260255584192439";="4.378698830943489";
128;="12.25";="1.9285714285714286";="6.4501953125";="9.993961879185267e-2";="8.384689922480622";="9.839617296350653e-2";="4.149830426356588";="1.2156027117698787";
192;="12.25";="0.5";="7.01171875";="4.764036148313487e-2";="8.96502590673575";="4.714795795093239e-2";="3.747665695164078";="0.3104159347089018";
256;="15.25";="0.7857142857142857";="8.19677734375";="0.5939938681466239";="10.157101167315176";="0.589380341002243";="6.56248100072957";="3.971407987883406";
384;="15.25";="2.7857142857142856";="8.312825520833332";="0.11245279463510653";="10.28603896103896";="0.11186938293617331";="5.334476461038958";="3.004500266944386";
512;="16.375";="1.125";="8.8125";="2.8834751674107144e-2";="10.791423001949319";="2.8722445055675734e-2";="5.558670847039481";="0.3665338286559314";
768;="18.5";="2.5714285714285716";="9.982421875";="0.4721771724640376";="11.966840052015606";="0.47094994186533873";="7.337257785408548";="3.082165190242983";
1024;="19.25";="3.0714285714285716";="10.3143310546875";="0.5274610349110195";="12.30231707317073";="0.5264323446927848";="7.295703601371968";="6.296731160758822";
1536;="20.75";="1.0714285714285714";="10.873453776041668";="0.10889276625618105";="12.865078074170462";="0.10875111714433407";="7.482837830053146";="1.2981069704262234";
2048;="21.375";="1.9821428571428572";="11.651123046875";="0.4148591586521694";="13.644460712542704";="0.41445431929237564";="8.191979903020545";="3.810918974236095";
