n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="5.375";="0.26785714285714285";="2.890625";="5.1060267857142856e-2";="4.602941176470588";="4.522985664854172e-2";="1.6029411764705883";="0.38344970341077605";
24;="7.25";="1.9285714285714286";="3.7395833333333335";="0.24392361111111116";="5.51";="0.22479999999999997";="2.784583333333333";="3.810704563492064";
32;="7.625";="0.5535714285714286";="4.125";="7.672991071428571e-2";="5.93939393939394";="7.215007215007217e-2";="2.7982954545454546";="0.7551775875639509";
48;="8.625";="1.125";="4.6484375";="0.102236793154762";="6.512755102040816";="9.81064437436782e-2";="2.9642857142857144";="1.6351026440702612";
64;="9.875";="2.125";="5.3828125";="0.13497488839285715";="7.26923076923077";="0.13085376162299242";="4.040564903846153";="2.4118508253315194";
96;="12.125";="1.5535714285714286";="6.240885416666667";="6.719486297123017e-2";="8.155927835051546";="6.58165434310614e-2";="5.28573346219931";="3.200753836687465";
128;="12.625";="5.410714285714286";="6.6416015625";="0.3298590523856027";="8.574612403100776";="0.32476478061929626";="5.264640867248063";="7.375591864753671";
192;="14.0";="1.7142857142857142";="7.509765625";="0.19877261207217264";="9.460492227979275";="0.19671812857871568";="6.003791558721936";="1.775778003526554";
256;="15.625";="2.267857142857143";="8.06884765625";="0.3919239044189453";="10.029669260700391";="0.3888798467804206";="6.526169595087553";="3.8834809248649207";
384;="17.125";="3.5535714285714284";="8.652669270833334";="0.1818303910512772";="10.625";="0.18088704431005007";="6.892052218614722";="4.52191309311935";
512;="17.625";="3.125";="9.16455078125";="0.26013265337262836";="11.14278752436647";="0.2591194794436815";="7.130329213876702";="3.3250390775318976";
