n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="6.0";="1.4285714285714286";="3.0859375";="0.19635881696428573";="4.786764705882353";="0.17393722194760272";="2.250919117647059";="1.8535349341942655";
24;="6.75";="0.7857142857142857";="3.6875";="8.928571428571433e-2";="5.46";="8.22857142857142e-2";="2.4650000000000003";="1.0449269841269844";
32;="8.125";="3.5535714285714284";="4.37109375";="0.8235037667410714";="6.178030303030303";="0.7743506493506496";="3.5068655303030303";="7.676251083788372";
48;="8.625";="2.267857142857143";="4.846354166666667";="0.13751705109126985";="6.706632653061225";="0.13196138513714514";="3.3333333333333335";="1.707730079398134";
64;="10.375";="1.4107142857142858";="5.623046875";="0.36024257114955355";="7.505769230769231";="0.34924344885883307";="4.963040865384616";="5.723795134027638";
96;="11.125";="1.8392857142857142";="6.114583333333333";="0.19804067460317465";="8.030927835051546";="0.19397840972928623";="4.171284364261167";="2.6492900298515276";
128;="13.0";="1.7142857142857142";="6.6845703125";="0.11146654401506696";="8.617248062015504";="0.1097450788500004";="5.477258963178294";="1.8682400490086262";
192;="14.875";="4.125";="7.774088541666666";="0.6134822784908229";="9.72344559585492";="0.6071414189450921";="7.281681778929184";="7.708391093452962";
256;="15.375";="2.267857142857143";="8.205078125";="0.16068376813616073";="10.165369649805447";="0.15943574359296006";="6.450658894698445";="2.6105288327260703";
384;="16.5";="4.857142857142857";="8.700520833333332";="0.14827473958333326";="10.672727272727272";="0.1475054815314555";="6.577663352272729";="1.790825747308204";
512;="17.5";="1.7142857142857142";="9.31396484375";="0.12358066013881139";="11.291910331384017";="0.12309933377954282";="7.325742606298733";="1.5309254146717208";
768;="20.75";="1.0714285714285714";="10.763509114583334";="0.5410393306187223";="12.74691157347204";="0.5396331211271234";="10.114924516417418";="4.402480884415129";
1024;="21.375";="3.125";="11.394287109375";="0.4267130579267229";="13.38121951219512";="0.42588085323361957";="11.056227134146347";="10.184858207120936";
1536;="22.75";="5.071428571428571";="12.012044270833334";="0.3389766632564483";="14.002927781392321";="0.33853571805009525";="11.471808985137374";="11.820549609173431";
2048;="22.625";="2.5535714285714284";="12.158203125";="0.10858910424368722";="14.151293313811616";="0.10848313781501907";="9.970264827640744";="2.081349313176731";
3072;="24.5";="2.857142857142857";="12.9156494140625";="0.37449995487455295";="14.910795639440286";="0.3742562587984451";="11.050160663015843";="4.538354092892929";
4096;="26.375";="6.553571428571429";="13.85797119140625";="0.3800898236887796";="15.854100561386378";="0.37990430089779587";="12.784882612277235";="5.079751133798751";
