n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="5.375";="0.8392857142857143";="2.9140625";="7.024274553571429e-2";="4.625";="6.222194760257045e-2";="1.8161764705882355";="1.1022305981216016";
24;="6.75";="1.0714285714285714";="3.546875";="4.386780753968256e-2";="5.325";="4.042857142857138e-2";="2.1500000000000004";="0.6092920634920634";
32;="8.125";="1.8392857142857142";="4.34765625";="0.35475376674107145";="6.155303030303029";="0.3335792994883904";="3.3264678030303036";="3.5394354846148155";
48;="10.25";="2.2142857142857144";="5.114583333333333";="0.1495535714285714";="6.969387755102041";="0.14351163205807102";="4.537521258503401";="3.0127080890361464";
64;="10.375";="2.267857142857143";="5.474609375";="0.34221104213169645";="7.359615384615385";="0.33176246830092976";="4.31796875";="4.145280796802356";
96;="11.5";="1.1428571428571428";="6.1640625";="0.2206023685515873";="8.079896907216494";="0.21607731199611319";="4.062929553264605";="1.1224658966971828";
128;="13.75";="1.9285714285714286";="6.9814453125";="0.10189274379185267";="8.911821705426355";="0.1003191343240019";="6.197644137596897";="3.417292037173067";
192;="15.375";="2.5535714285714284";="7.598958333333333";="0.12375217013888874";="9.549222797927461";="0.12247308652581265";="7.003123650690846";="1.6005081116397264";
256;="15.75";="2.5";="8.0322265625";="0.20675114222935267";="9.9931906614786";="0.20514531419314277";="6.392015746595334";="2.969933031381644";
384;="16.875";="2.125";="9.25";="0.287760416666667";="11.220779220779221";="0.28626749873503116";="8.390097402597402";="6.410598514820341";
512;="17.25";="2.7857142857142856";="9.47998046875";="0.7387779780796596";="11.457602339181285";="0.7359005592821123";="7.52490329556528";="10.790563360274543";
768;="20.75";="4.214285714285714";="10.65234375";="0.3045978848896329";="12.63589076723017";="0.3038062078106994";="10.493653402010185";="5.748428054596439";
1024;="19.5";="3.7142857142857144";="10.62158203125";="0.7800284794398716";="12.609268292682927";="0.7785072150930565";="7.975379192073161";="5.158703605963438";
1536;="22.5";="6.857142857142857";="11.796061197916666";="0.2777150169251457";="13.787085230969419";="0.27735376165680653";="11.076215821371434";="5.8862565534930615";
2048;="23.875";="4.982142857142857";="11.99560546875";="0.285592828478132";="13.988775012201074";="0.28531413337057204";="10.714701781452083";="4.026998044909411";
