n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="5.25";="0.21428571428571427";="2.9296875";="7.191685267857142e-2";="4.639705882352941";="6.370489372219476e-2";="1.5137867647058822";="0.2612215382476522";
24;="7.125";="2.4107142857142856";="3.8645833333333335";="0.36892361111111105";="5.63";="0.3399999999999999";="2.95375";="3.416480753968254";
32;="8.125";="1.5535714285714286";="4.26171875";="0.20143345424107142";="6.071969696969697";="0.18941033713760988";="3.3667140151515147";="2.3846746047118907";
48;="9.0";="1.7142857142857142";="4.940104166666667";="0.26319909474206343";="6.798469387755103";="0.2525658951627299";="3.735544217687074";="3.4351576393433936";
64;="11.75";="1.6428571428571428";="5.966796875";="0.22833687918526785";="7.844230769230769";="0.22136517328825014";="6.077463942307691";="3.968508059323484";
96;="12.25";="2.5";="6.415364583333334";="0.34996396019345244";="8.32860824742268";="0.34278540303356975";="6.003194802405498";="3.7829257142443242";
128;="12.625";="1.125";="6.7353515625";="8.345140729631696e-2";="8.66763565891473";="8.216260183539785e-2";="4.89336543120155";="0.6244065607303391";
192;="14.625";="3.125";="7.685546875000001";="0.38557894267733145";="9.635362694300518";="0.3815936573560938";="6.7227709412780685";="6.84675841093339";
256;="15.375";="3.4107142857142856";="8.35498046875";="0.3138359614780971";="10.314688715953308";="0.3113984098385828";="7.437104815175095";="5.457242605530411";
384;="16.5";="2.857142857142857";="8.843098958333332";="0.43715268089657716";="10.814935064935066";="0.4348847071296054";="7.081542545995666";="5.998617444056529";
512;="17.875";="0.6964285714285714";="10.2705078125";="0.2577787126813616";="12.246588693957115";="0.25677470696450905";="9.197356999269012";="2.2987915556020764";
