n;height average;height variance;average depth average;average depth variance;average leaf depth average;average leaf depth variance;leaf depth variance average;leaf depth variance variance;
16;="5.875";="0.4107142857142857";="3.296875";="0.10239955357142858";="4.819444444444445";="8.090828924162252e-2";="1.993464052287582";="0.7786321500277683";
24;="7.5";="4.571428571428571";="3.96875";="0.4155505952380953";="5.586538461538462";="0.3540786136939983";="3.3100000000000005";="8.872218427726121";
32;="8.5";="1.1428571428571428";="4.78515625";="0.3687046595982143";="6.444852941176469";="0.32660343549184384";="4.005459001782532";="2.459429244473676";
48;="9.625";="1.9821428571428572";="5.216145833333333";="0.4020259796626985";="6.9675";="0.37050714285714287";="4.333928571428571";="4.5844370768132325";
64;="10.875";="2.6964285714285716";="5.955078125";="0.6149161202566964";="7.744318181818181";="0.5782131378722284";="5.225670163170163";="6.111542729803217";
96;="12.0";="2.0";="6.708333333333333";="1.0873635912698414";="8.551020408163266";="1.043434283334325";="5.451241321270777";="9.715707952031451";
128;="13.75";="5.071428571428571";="7.1494140625";="0.47608184814453125";="9.024038461538462";="0.46154585798816555";="6.862783243887893";="9.009098171899009";
192;="13.0";="0.2857142857142857";="7.325520833333334";="7.083178323412698e-2";="9.239690721649483";="6.937886218362373e-2";="5.168794402008438";="1.0856216171707957";
256;="15.25";="1.0714285714285714";="8.3896484375";="0.2577765328543527";="10.316860465116278";="0.2537954879085219";="7.329970138449012";="3.299493878231392";
384;="16.875";="1.8392857142857142";="8.837565104166666";="0.35500747438461083";="10.786593264248705";="0.3513381711110172";="6.882158838570757";="4.454834917758716";
512;="18.375";="2.267857142857143";="9.4326171875";="3.370557512555804e-2";="11.392023346303503";="3.344378524169281e-2";="8.46094727740234";="0.9169274876208225";
768;="20.125";="2.6964285714285716";="10.458658854166666";="0.21358078245132658";="12.428896103896104";="0.21247271281594107";="9.084139884822584";="3.060887985625263";
1024;="20.625";="2.5535714285714284";="11.055419921875";="0.14735187802995955";="13.031920077972709";="0.14677796668409154";="10.169936290590972";="3.3565773060654363";
1536;="23.375";="4.267857142857143";="11.982666015624998";="0.1594360518077063";="13.965783485045513";="0.15902166328423498";="12.428152864369382";="10.777174946912478";
2048;="24.125";="3.267857142857143";="12.25360107421875";="0.6088597391332898";="14.240670731707318";="0.6076722996515684";="10.844251776595371";="3.2155313614917";
3072;="24.5";="4.571428571428571";="12.644165039062498";="4.864860527099136e-2";="14.635287898503579";="4.858532253912419e-2";="10.581127489069408";="1.6907397989964963";
4096;="26.25";="0.5";="13.687255859375";="0.20325168541499547";="15.6800878477306";="0.20305334272330253";="12.047289881548492";="2.5393377721618293";
